t;tr;ch1;ch2;ch3;ch4;sum
0;0;15;14;16;17;62
1;0;14;15;13;15;57
2;0;12;11;11;13;47
3;0;11;14;12;9;46
4;0;10;16;21;12;59
5;0;15;13;12;10;50
6;0;10;10;16;12;48
7;0;9;18;16;14;57
8;0;16;9;12;21;58
9;0;13;5;14;11;43
10;0;8;12;8;18;46
11;0;9;15;9;19;52
12;0;7;15;12;14;48
13;0;17;7;10;10;44
14;0;10;14;12;14;50
15;0;12;16;10;15;53
16;0;9;15;12;7;43
17;0;13;12;15;17;57
18;0;13;20;15;14;62
19;0;16;21;7;11;55
20;0;7;11;11;8;37
21;0;11;11;21;14;57
22;0;12;12;13;15;52
23;0;8;14;17;8;47
24;0;10;12;9;19;50
25;0;11;15;14;20;60
26;0;10;12;11;15;48
27;0;7;18;11;16;52
28;0;10;13;19;9;51
29;0;11;13;19;8;51
30;0;10;14;9;11;44
31;0;11;14;14;10;49
32;0;12;18;17;11;58
33;0;10;11;13;11;45
34;0;9;22;13;15;59
35;0;12;15;16;8;51
36;0;5;5;21;11;42
37;0;10;16;14;14;54
38;0;10;19;18;13;60
39;0;15;9;12;8;44
40;0;7;16;15;17;55
41;0;11;17;17;10;55
42;0;11;13;13;14;51
43;0;12;20;10;9;51
44;0;11;12;10;9;42
45;0;10;8;14;10;42
46;0;10;8;8;9;35
47;0;9;16;21;14;60
48;0;9;16;12;19;56
49;0;15;15;16;14;60
50;0;8;12;17;10;47
51;0;11;13;13;13;50
52;0;12;17;19;10;58
53;0;11;16;16;9;52
54;0;8;13;13;16;50
55;0;11;15;11;15;52
56;0;13;9;11;13;46
57;0;16;15;9;15;55
58;0;8;10;13;10;41
59;0;5;11;14;13;43
60;0;10;9;8;7;34
61;0;7;11;9;12;39
62;0;11;23;6;10;50
63;0;4;12;16;6;38
64;0;9;18;20;15;62
65;0;6;12;19;10;47
66;0;8;17;11;18;54
67;0;11;10;7;11;39
68;0;11;9;13;7;40
69;0;12;13;15;14;54
70;0;8;16;10;16;50
71;0;13;15;8;15;51
72;0;8;6;16;10;40
73;0;10;11;14;15;50
74;0;10;9;11;10;40
75;0;9;19;12;12;52
76;0;8;13;14;16;51
77;0;11;18;11;3;43
78;0;11;9;16;10;46
79;0;16;12;16;14;58
80;0;8;14;14;8;44
81;0;10;13;18;11;52
82;0;8;9;8;17;42
83;0;7;11;16;15;49
84;0;15;10;12;17;54
85;0;4;11;21;13;49
86;0;13;9;15;14;51
87;0;8;13;19;15;55
88;0;8;6;14;7;35
89;0;10;11;9;8;38
90;0;12;13;15;18;58
91;0;9;14;8;14;45
92;0;6;13;16;7;42
93;0;10;14;13;9;46
94;0;12;12;13;17;54
95;0;11;20;11;12;54
96;0;13;11;15;14;53
97;0;16;13;22;13;64
98;0;18;16;16;16;66
99;0;8;12;11;18;49
100;0;8;15;10;6;39
101;0;11;14;11;6;42
102;0;12;10;16;10;48
103;0;11;14;11;9;45
104;0;13;15;5;10;43
105;0;11;8;17;9;45
106;0;12;11;13;14;50
107;0;13;10;11;12;46
108;0;8;15;16;9;48
109;0;18;11;14;14;57
110;0;10;17;15;10;52
111;0;8;11;11;11;41
112;0;10;10;13;11;44
113;0;14;14;14;10;52
114;0;11;14;14;18;57
115;0;15;19;8;13;55
116;0;12;8;22;5;47
117;0;13;26;14;7;60
118;0;7;9;13;11;40
119;0;6;17;15;17;55
120;0;12;16;13;15;56
121;0;12;11;18;10;51
122;0;9;6;11;11;37
123;0;14;12;12;12;50
124;0;8;13;17;13;51
125;0;11;17;12;12;52
126;0;8;10;13;11;42
127;0;13;14;20;15;62
128;0;8;16;14;15;53
129;0;10;7;15;8;40
130;0;12;10;10;10;42
131;0;11;16;12;9;48
132;0;10;24;15;17;66
133;0;9;10;12;7;38
134;0;7;16;10;9;42
135;0;11;14;18;12;55
136;0;7;11;10;11;39
137;0;16;17;12;17;62
138;0;9;15;17;8;49
139;0;14;15;8;10;47
140;0;11;9;10;11;41
141;0;14;12;9;8;43
142;0;12;13;11;14;50
143;0;8;10;17;12;47
144;0;8;19;17;8;52
145;0;12;12;13;12;49
146;0;8;11;11;18;48
147;0;12;11;15;11;49
148;0;9;12;13;9;43
149;0;10;10;11;12;43
150;0;11;13;16;9;49
151;0;6;18;17;11;52
152;0;8;13;17;11;49
153;0;8;6;21;19;54
154;0;10;12;7;6;35
155;0;12;16;7;14;49
156;0;14;15;13;10;52
157;0;10;17;14;15;56
158;0;14;14;6;10;44
159;0;12;8;12;14;46
160;0;8;12;10;15;45
161;0;7;12;15;12;46
162;0;7;20;15;10;52
163;0;9;14;15;18;56
164;0;7;12;13;10;42
165;0;15;14;14;5;48
166;0;14;12;14;10;50
167;0;7;14;8;9;38
168;0;14;21;17;20;72
169;0;12;12;12;11;47
170;0;9;12;12;18;51
171;0;10;20;8;11;49
172;0;14;10;16;10;50
173;0;9;7;14;12;42
174;0;15;9;23;7;54
175;0;14;18;16;12;60
176;0;12;21;15;18;66
177;0;7;13;10;11;41
178;0;13;10;14;10;47
179;0;11;12;16;12;51
180;0;5;16;13;11;45
181;0;7;11;13;6;37
182;0;13;13;9;14;49
183;0;10;11;11;17;49
184;0;9;10;13;13;45
185;0;10;15;10;6;41
186;0;17;17;17;12;63
187;0;7;15;17;11;50
188;0;7;18;10;8;43
189;0;18;19;5;12;54
190;0;14;8;18;5;45
191;0;11;13;16;15;55
192;0;11;11;20;15;57
193;0;13;18;10;5;46
194;0;15;14;11;8;48
195;0;15;9;10;12;46
196;0;10;9;12;15;46
197;0;11;11;16;9;47
198;0;9;12;15;11;47
199;0;11;11;5;20;47
200;0;8;13;16;9;46
201;0;11;17;12;10;50
202;0;13;11;14;8;46
203;0;6;10;11;10;37
204;0;7;9;5;19;40
205;0;16;7;14;11;48
206;0;3;16;11;9;39
207;0;12;16;14;14;56
208;0;16;10;15;18;59
209;0;8;14;13;11;46
210;0;11;16;9;9;45
211;0;11;13;14;15;53
212;0;12;17;17;14;60
213;0;13;13;14;5;45
214;0;7;15;17;10;49
215;0;15;10;8;14;47
216;0;14;13;12;7;46
217;0;11;14;10;13;48
218;0;11;14;12;14;51
219;0;7;12;14;12;45
220;0;6;14;10;17;47
221;0;16;13;11;17;57
222;0;16;12;12;18;58
223;0;12;13;14;4;43
224;0;10;11;15;12;48
225;0;8;13;12;11;44
226;0;10;7;14;13;44
227;0;5;12;14;5;36
228;0;16;11;14;6;47
229;0;13;7;11;15;46
230;0;11;6;13;12;42
231;0;11;12;11;18;52
232;0;8;14;10;9;41
233;0;7;13;7;6;33
234;0;6;10;13;12;41
235;0;13;11;12;8;44
236;0;8;15;12;9;44
237;0;5;16;15;12;48
238;0;12;19;11;10;52
239;0;9;10;10;13;42
240;0;12;12;9;12;45
241;0;5;12;10;18;45
242;0;9;16;9;12;46
243;0;7;5;10;10;32
244;0;12;10;18;12;52
245;0;9;8;21;12;50
246;0;7;9;12;10;38
247;0;15;12;13;13;53
248;0;5;14;8;14;41
249;0;7;10;11;12;40
250;0;12;13;9;11;45
